,gram_count,document_count,Average_freq
ir,6,3,2.0
labels,6,4,1.5
represented,8,6,1.3333333333333333
confusion,23,5,4.6
matrix,78,6,13.0
summarizes,4,3,1.3333333333333333
outcomes,8,3,2.6666666666666665
true,27,6,4.5
tp,22,5,4.4
tn,11,5,2.2
false,16,5,3.2
fp,19,5,3.8
fn,10,4,2.5
measure,10,5,2.0
strategies,8,6,1.3333333333333333
auc,68,5,13.6
𝑇𝑃,7,2,3.5
𝐴𝑈𝐶,2,2,1.0
receiver,5,4,1.25
operating,5,4,1.25
characteristic,5,4,1.25
curve,34,5,6.8
evaluate,10,4,2.5
graph,5,4,1.25
plotted,6,3,2.0
advantage,5,5,1.0
affected,4,4,1.0
figures,2,2,1.0
predicted,5,4,1.25
p,84,6,14.0
n,92,6,15.333333333333334
scores,8,2,4.0
lies,5,4,1.25
discussion,8,5,1.6
tables,8,4,2.0
report,7,4,1.75
metric,24,6,4.0
had,12,2,6.0
highest,16,3,5.333333333333333
observed,9,5,1.8
achieved,19,5,3.8
greater,9,5,1.8
doing,11,4,2.75
make,11,5,2.2
contribution,4,4,1.0
seems,6,4,1.5
contributes,2,2,1.0
improvements,6,4,1.5
total,15,4,3.75
noting,3,3,1.0
occasions,2,2,1.0
opposed,8,4,2.0
showing,6,2,3.0
b,68,5,13.6
c,46,6,7.666666666666667
d,63,6,10.5
general,13,6,2.1666666666666665
higher,13,6,2.1666666666666665
indicate,5,5,1.0
interesting,9,5,1.8
outperformed,8,2,4.0
similarly,4,3,1.3333333333333333
varied,6,4,1.5
sensitivity,7,5,1.4
specificity,1,1,1.0
presented,23,4,5.75
obtained,37,6,6.166666666666667
clearly,3,2,1.5
running,6,3,2.0
support,32,6,5.333333333333333
previous,11,6,1.8333333333333333
handling,18,5,3.6
evaluative,2,2,1.0
experience,4,2,2.0
backdrop,2,2,1.0
motivation,8,5,1.6
initial,7,5,1.4
dealing,13,4,3.25
drift,2,2,1.0
caused,5,3,1.6666666666666667
led,2,2,1.0
generality,4,2,2.0
wide,5,3,1.6666666666666667
range,10,4,2.5
ratios,11,6,1.8333333333333333
offsets,4,2,2.0
answer,3,3,1.0
ideas,4,3,1.3333333333333333
cbr,10,2,5.0
systems,44,6,7.333333333333333
operate,5,4,1.25
target,18,6,3.0
solved,5,5,1.0
adapting,2,2,1.0
city,2,2,1.0
my,2,2,1.0
apartment,3,2,1.5
retrieved,5,3,1.6666666666666667
adaptation,14,2,7.0
bridges,2,2,1.0
gap,4,3,1.3333333333333333
says,2,2,1.0
bathroom,2,2,1.0
worth,6,4,1.5
typical,4,3,1.3333333333333333
bring,2,2,1.0
closer,4,4,1.0
rules,16,3,5.333333333333333
learned,9,4,2.25
patterns,88,4,22.0
uplift,2,2,1.0
price,2,2,1.0
bridge,2,2,1.0
holes,2,2,1.0
providing,6,5,1.2
transformations,4,2,2.0
special,7,4,1.75
adaption,4,2,2.0
capture,3,3,1.0
changes,7,3,2.3333333333333335
stand,3,3,1.0
chance,5,4,1.25
prior,8,5,1.6
lack,4,4,1.0
constrained,5,3,1.6666666666666667
delivers,2,2,1.0
locally,6,2,3.0
predictively,2,2,1.0
looks,2,2,1.0
nature,15,6,2.5
limitations,5,3,1.6666666666666667
question,3,3,1.0
failure,5,4,1.25
think,2,2,1.0
fail,8,3,2.6666666666666665
encounter,2,2,1.0
immediately,2,2,1.0
clear,9,4,2.25
tolerances,4,2,2.0
fundamentally,4,2,2.0
depends,5,3,1.6666666666666667
rich,2,2,1.0
ability,5,4,1.25
hampered,2,2,1.0
indications,2,2,1.0
least,9,6,1.5
order,24,6,4.0
systematically,4,3,1.3333333333333333
percentage,7,4,1.75
affect,3,3,1.0
know,6,3,2.0
deliver,3,3,1.0
factor,5,5,1.0
robust,7,5,1.4
disruption,2,2,1.0
build,4,4,1.0
strong,3,3,1.0
originally,3,3,1.0
prefer,2,2,1.0
comprehend,2,2,1.0
rationale,2,2,1.0
produces,3,3,1.0
produce,8,4,2.0
remain,3,3,1.0
evidence,4,4,1.0
proposition,2,2,1.0
pilot,2,2,1.0
runs,22,5,4.4
fact,7,5,1.4
expect,2,2,1.0
numbers,7,5,1.4
final,5,4,1.25
allow,4,3,1.3333333333333333
uniformly,4,3,1.3333333333333333
scheme,4,3,1.3333333333333333
tailored,2,2,1.0
arose,2,2,1.0
chose,2,2,1.0
obviously,2,2,1.0
noisy,9,6,1.5
disimprove,2,2,1.0
note,26,5,5.2
forests,4,2,2.0
linear,18,4,4.5
worst,6,3,2.0
conclusion,4,4,1.0
handle,8,5,1.6
essence,2,2,1.0
discoveries,2,2,1.0
usefully,2,2,1.0
deployed,2,2,1.0
augment,3,3,1.0
successfully,2,2,1.0
outperform,12,5,2.4
differing,2,2,1.0
acknowledgements,2,2,1.0
publication,5,4,1.25
emanated,2,2,1.0
conducted,11,4,2.75
financial,2,2,1.0
foundation,3,3,1.0
grant,5,3,1.6666666666666667
department,9,5,1.8
agriculture,4,2,2.0
food,2,2,1.0
marine,2,2,1.0
behalf,2,2,1.0
government,2,2,1.0
references,5,5,1.0
aggarwal,2,2,1.0
chen,10,5,2.0
j,22,4,5.5
journal,41,6,6.833333333333333
technology,14,4,3.5
fernandez,8,2,4.0
luengo,4,2,2.0
derrac,2,2,1.0
garcía,6,4,1.5
sánchez,3,3,1.0
herrera,16,4,4.0
software,2,2,1.0
tool,3,3,1.0
repository,12,4,3.0
integration,5,3,1.6666666666666667
experimental,6,4,1.5
framework,23,6,3.8333333333333335
soft,9,4,2.25
asuncion,3,3,1.0
newman,3,3,1.0
https,10,4,2.5
bache,2,2,1.0
lichman,3,3,1.0
batista,9,5,1.8
prati,8,5,1.6
monard,8,5,1.6
behavior,6,4,1.5
balancing,6,4,1.5
sigkdd,20,5,4.0
explor,3,3,1.0
bellinger,2,2,1.0
sharma,4,2,2.0
japkowicz,20,6,3.3333333333333335
zaïane,2,2,1.0
knowledge,33,6,5.5
bishop,2,2,1.0
pattern,23,5,4.6
recognition,18,6,3.0
springer,13,3,4.333333333333333
blake,2,2,1.0
merz,2,2,1.0
databases,8,5,1.6
california,2,2,1.0
bunkhumpornpat,5,3,1.6666666666666667
sinapiromsaran,5,3,1.6666666666666667
lursinsap,5,3,1.6666666666666667
proceedings,68,5,13.6
conference,91,5,18.2
discovery,16,6,2.6666666666666665
mining,41,6,6.833333333333333
dbsmote,2,2,1.0
intelligence,46,6,7.666666666666667
chawla,21,6,3.5
bowyer,10,6,1.6666666666666667
hall,12,6,2.0
kegelmeyer,6,6,1.0
artificial,27,4,6.75
lazarevic,4,4,1.0
smoteboost,58,4,14.5
improving,13,5,2.6
boosting,57,5,11.4
pkdd,2,2,1.0
cristianini,5,4,1.25
vector,21,5,4.2
machines,23,6,3.8333333333333335
cambridge,7,4,1.75
uk,2,2,1.0
press,11,6,1.8333333333333333
dandl,2,2,1.0
molnar,2,2,1.0
binder,2,2,1.0
bischl,2,2,1.0
international,80,6,13.333333333333334
aquin,2,2,1.0
badra,2,2,1.0
lafrogne,2,2,1.0
lieber,2,2,1.0
napoli,2,2,1.0
szathmary,2,2,1.0
acquisition,2,2,1.0
twentieth,2,2,1.0
joint,19,6,3.1666666666666665
dasarathy,2,2,1.0
mcs,2,2,1.0
identification,7,4,1.75
design,12,5,2.4
ieee,72,6,12.0
man,10,6,1.6666666666666667
cybernetics,10,4,2.5
delaney,4,2,2.0
greene,2,2,1.0
series,5,3,1.6666666666666667
germany,8,2,4.0
douzas,4,2,2.0
bacao,4,2,2.0
expert,4,4,1.0
applications,23,6,3.8333333333333335
last,4,4,1.0
sciences,5,3,1.6666666666666667
elkan,2,2,1.0
foundations,2,2,1.0
seventeenth,2,2,1.0
garcia,15,4,3.75
progress,5,3,1.6666666666666667
marking,2,2,1.0
anniversary,2,2,1.0
jair,2,2,1.0
förster,4,2,2.0
klier,4,2,2.0
kluge,4,2,2.0
sigler,4,2,2.0
artifical,2,2,1.0
really,2,2,1.0
appreciate,3,3,1.0
european,9,4,2.25
fostering,2,2,1.0
human,2,2,1.0
agency,4,2,2.0
icis,2,2,1.0
freund,6,4,1.5
schapire,6,4,1.5
generalization,6,4,1.5
galar,4,3,1.3333333333333333
barrenechea,4,3,1.3333333333333333
bustince,3,3,1.0
ensembles,9,5,1.8
kamber,2,2,1.0
concepts,8,5,1.6
wang,11,5,2.2
mao,5,5,1.0
intelligent,12,5,2.4
hanney,2,2,1.0
workshop,30,5,6.0
berlin,2,2,1.0
creative,2,2,1.0
inquiry,2,2,1.0
day,2,2,1.0
bai,4,4,1.0
li,11,4,2.75
adaptive,18,4,4.5
neural,54,5,10.8
networks,33,5,6.6
engineering,23,5,4.6
holte,8,4,2.0
acker,2,2,1.0
porter,2,2,1.0
concept,8,5,1.6
disjuncts,13,5,2.6
llth,2,2,1.0
hsu,2,2,1.0
lin,4,2,2.0
comparison,26,6,4.333333333333333
multiclass,9,4,2.25
hu,6,3,2.0
liang,2,2,1.0
ma,7,4,1.75
y,62,5,12.4
msmote,2,2,1.0
jeni,2,2,1.0
cohn,2,2,1.0
torre,2,2,1.0
facing,2,2,1.0
recommendations,2,2,1.0
humaine,2,2,1.0
association,3,3,1.0
affective,2,2,1.0
interaction,4,3,1.3333333333333333
jiang,3,3,1.0
lu,2,2,1.0
xia,2,2,1.0
arabian,2,2,1.0
karimi,2,2,1.0
barthe,2,2,1.0
schölkopf,2,2,1.0
valera,2,2,1.0
survey,6,2,3.0
formulations,2,2,1.0
prospects,2,2,1.0
kenny,4,2,2.0
montreal,2,2,1.0
canada,5,4,1.25
kotsiantis,6,4,1.5
supervised,3,3,1.0
informatica,2,2,1.0
krawczyk,3,3,1.0
koziarski,2,2,1.0
woźniak,2,2,1.0
kubat,7,5,1.4
matwin,7,5,1.4
lash,2,2,1.0
street,2,2,1.0
robinson,2,2,1.0
ohlmann,2,2,1.0
generalized,3,3,1.0
siam,2,2,1.0
laugel,2,2,1.0
lesot,2,2,1.0
marsala,2,2,1.0
renard,2,2,1.0
detyniecki,2,2,1.0
dangers,2,2,1.0
interpretability,2,2,1.0
unjustified,2,2,1.0
john,3,3,1.0
wiley,6,4,1.5
sons,3,3,1.0
ling,2,2,1.0
direct,4,3,1.3333333333333333
marketing,2,2,1.0
fourth,7,4,1.75
kdd,2,2,1.0
addressing,9,5,1.8
complexity,20,4,5.0
evolutionally,1,1,1.0
underdamping,2,2,1.0
luo,2,2,1.0
liu,7,6,1.1666666666666667
fan,3,3,1.0
hybrid,7,3,2.3333333333333335
bmc,2,2,1.0
bioinformatics,3,3,1.0
maciejewski,2,2,1.0
stefanowski,2,2,1.0
neighbourhood,6,3,2.0
symposium,3,3,1.0
computational,29,6,4.833333333333333
cidm,2,2,1.0
mckenna,2,2,1.0
editing,2,2,1.0
tan,2,2,1.0
explaining,4,2,2.0
fairness,2,2,1.0
accountability,2,2,1.0
transparency,2,2,1.0
fat,2,2,1.0
ng,5,3,1.6666666666666667
yeung,2,2,1.0
yin,3,3,1.0
roli,2,2,1.0
diversified,2,2,1.0
undersampling,10,5,2.0
nguyen,3,3,1.0
cooper,3,3,1.0
kamei,3,3,1.0
paradigms,2,2,1.0
nugent,2,2,1.0
doyle,2,2,1.0
cunningham,2,2,1.0
gaining,3,3,1.0
creager,2,2,1.0
garg,2,2,1.0
factored,2,2,1.0
dynamics,2,2,1.0
processing,13,5,2.6
provost,8,4,2.0
aaai,7,4,1.75
prusty,2,2,1.0
jayanthi,2,2,1.0
velusamy,2,2,1.0
modification,3,3,1.0
event,4,3,1.3333333333333333
sodium,2,2,1.0
cooled,2,2,1.0
fast,7,5,1.4
reactors,2,2,1.0
nuclear,3,3,1.0
energy,3,3,1.0
ramentol,3,3,1.0
caballero,4,4,1.0
bello,3,3,1.0
preprocessing,5,3,1.6666666666666667
theory,8,4,2.0
ryan,2,2,1.0
gúeret,2,2,1.0
berry,2,2,1.0
corcoran,2,2,1.0
mac,2,2,1.0
namee,2,2,1.0
illness,2,2,1.0
sustainable,2,2,1.0
onset,2,2,1.0
sandhan,2,2,1.0
choi,3,3,1.0
partially,2,2,1.0
guided,4,4,1.0
schleich,2,2,1.0
geng,2,2,1.0
zhang,10,4,2.5
suciu,2,2,1.0
geco,2,2,1.0
real,14,6,2.3333333333333335
arxiv,6,2,3.0
preprint,6,2,3.0
shorten,2,2,1.0
khoshgoftaar,2,2,1.0
image,10,4,2.5
big,14,3,4.666666666666667
interpretable,2,2,1.0
normalization,4,3,1.3333333333333333
proactively,2,2,1.0
mechanisms,7,3,2.3333333333333335
uncertainty,4,4,1.0
uai,2,2,1.0
tek,2,2,1.0
dempster,2,2,1.0
kale,2,2,1.0
parasite,2,2,1.0
thin,2,2,1.0
blood,2,2,1.0
film,2,2,1.0
malaria,2,2,1.0
vision,5,4,1.25
understanding,11,5,2.2
ruelle,2,2,1.0
shalloo,2,2,1.0
crop,3,3,1.0
uncertain,2,2,1.0
torres,2,2,1.0
deterministic,2,2,1.0
vapnik,2,2,1.0
statistical,17,4,4.25
mittelstadt,2,2,1.0
russell,2,2,1.0
opening,2,2,1.0
black,2,2,1.0
harvard,2,2,1.0
law,2,2,1.0
xu,2,2,1.0
signal,3,3,1.0
weiss,12,4,3.0
mccarthy,2,2,1.0
zabar,2,2,1.0
unbalanced,5,3,1.6666666666666667
unequal,6,5,1.2
error,11,5,2.2
costs,14,5,2.8
dmin,2,2,1.0
wen,3,3,1.0
sun,4,4,1.0
yang,8,5,1.6
song,2,2,1.0
gao,3,3,1.0
xue,2,2,1.0
huan,2,2,1.0
wong,3,3,1.0
gatt,2,2,1.0
stamatescu,2,2,1.0
mcdonnell,2,2,1.0
warp,2,2,1.0
digital,4,4,1.0
dicta,2,2,1.0
ye,2,2,1.0
leake,2,2,1.0
jalali,2,2,1.0
crandall,2,2,1.0
network,9,4,2.25
yun,2,2,1.0
ha,3,2,1.5
lee,3,3,1.0
automatic,2,2,1.0
determination,2,2,1.0
neighborhood,3,3,1.0
ubiquitous,2,2,1.0
management,7,4,1.75
communication,2,2,1.0
zhai,2,2,1.0
empirical,46,6,7.666666666666667
natural,8,5,1.6
language,2,2,1.0
zheng,5,3,1.6666666666666667
wu,11,6,1.8333333333333333
srihari,4,3,1.3333333333333333
categorization,8,4,2.0
acm,18,6,3.0
explorations,15,4,3.75
vol,67,4,16.75
pp,145,4,36.25
doi,5,2,2.5
issn,1,1,1.0
eissn,1,1,1.0
distributed,28,1,28.0
sakshi,1,1,1.0
suman,1,1,1.0
ipu,1,1,1.0
delhi,2,1,2.0
india,2,1,2.0
associate,1,1,1.0
professor,3,2,1.5
msit,1,1,1.0
rt,2,2,1.0
l,40,5,8.0
e,125,5,25.0
o,58,5,11.6
article,4,3,1.3333333333333333
history,2,2,1.0
received,5,2,2.5
accepted,4,3,1.3333333333333333
jul,3,3,1.0
apache,5,1,5.0
spark,14,1,14.0
r,60,4,15.0
ac,7,2,3.5
try,3,1,3.0
occurrences,2,1,2.0
biased,6,3,2.0
toward,10,4,2.5
due,17,4,4.25
typicalapproaches,1,1,1.0
occurring,2,2,1.0
implementations,1,1,1.0
grows,4,2,2.0
stored,5,2,2.5
address,10,4,2.5
challenge,4,3,1.3333333333333333
scalable,12,2,6.0
implementation,21,3,7.0
able,24,3,8.0
python,10,1,10.0
authors,5,4,1.25
published,2,1,2.0
atlantis,1,1,1.0
sarl,1,1,1.0
open,5,2,2.5
access,2,1,2.0
cc,1,1,1.0
license,1,1,1.0
http,7,3,2.3333333333333335
aspect,3,3,1.0
involves,7,1,7.0
particular,8,4,2.0
expected,3,2,1.5
containing,3,2,1.5
extraction,2,2,1.0
constitute,1,1,1.0
content,2,2,1.0
relevant,7,3,2.3333333333333335
especially,5,3,1.6666666666666667
functions,4,2,2.0
sification,1,1,1.0
notable,3,1,3.0
challenging,2,2,1.0
include,12,2,6.0
intrusion,4,3,1.3333333333333333
dilemma,2,2,1.0
translates,1,1,1.0
state,2,1,2.0
indicating,4,2,2.0
resultant,5,1,5.0
asymmetry,3,1,3.0
puzzled,1,1,1.0
infrequent,1,1,1.0
emerge,1,1,1.0
exceptional,1,1,1.0
situations,16,4,4.0
mostly,1,1,1.0
neglected,1,1,1.0
unexplored,1,1,1.0
outliers,3,2,1.5
disturbance,1,1,1.0
ironical,1,1,1.0
attract,1,1,1.0
concern,2,2,1.0
significance,2,1,2.0
acknowledgment,1,1,1.0
extended,7,2,3.5
credit,5,3,1.6666666666666667
card,3,2,1.5
breaches,1,1,1.0
online,6,3,2.0
irregular,1,1,1.0
disproportionate,1,1,1.0
end,9,3,3.0
up,8,3,2.6666666666666665
yielding,4,2,2.0
unacceptable,2,2,1.0
trend,3,1,3.0
criticality,1,1,1.0
capable,3,2,1.5
various,26,3,8.666666666666666
associated,18,4,4.5
mentioned,2,2,1.0
ples,5,2,2.5
continually,1,1,1.0
ended,1,1,1.0
ignored,2,2,1.0
eventuality,2,1,2.0
valuable,2,2,1.0
lost,1,1,1.0
corresponding,16,4,4.0
author,3,2,1.5
email,5,3,1.6666666666666667
sakshihoodars,1,1,1.0
exhibits,7,2,3.5
form,15,4,3.75
ple,3,2,1.5
implies,1,1,1.0
cide,1,1,1.0
employed,14,3,4.666666666666667
forms,2,2,1.0
ensure,9,2,4.5
maximized,3,2,1.5
categorizations,1,1,1.0
linked,2,1,2.0
entails,3,1,3.0
ification,1,1,1.0
dispersion,1,1,1.0
respective,9,3,3.0
states,2,1,2.0
misclassification,8,2,4.0
volume,6,2,3.0
applies,2,2,1.0
placed,1,1,1.0
scalability,1,1,1.0
tackled,2,2,1.0
appropriately,1,1,1.0
formulate,1,1,1.0
accommodate,1,1,1.0
smaller,9,2,4.5
artificially,4,2,2.0
assistance,1,1,1.0
thetic,5,2,2.5
refers,3,1,3.0
plays,1,1,1.0
minimizing,1,1,1.0
nondistributed,1,1,1.0
ronment,3,2,1.5
making,14,4,3.5
confront,2,1,2.0
necessity,1,1,1.0
yield,10,4,2.5
hooda,7,1,7.0
mann,7,1,7.0
closure,1,1,1.0
appropriate,4,3,1.3333333333333333
cluster,26,3,8.666666666666666
ing,15,4,3.75
effective,9,3,3.0
via,11,2,5.5
imperative,1,1,1.0
preserve,2,2,1.0
spatial,10,2,5.0
arrangement,1,1,1.0
propriate,1,1,1.0
inconsistent,1,1,1.0
dissemination,1,1,1.0
nodes,18,1,18.0
consequently,4,3,1.3333333333333333
affecting,1,1,1.0
efficiency,1,1,1.0
tackle,1,1,1.0
efficient,10,1,10.0
utilizes,2,2,1.0
synthetically,6,2,3.0
implementing,1,1,1.0
believe,2,2,1.0
active,9,2,4.5
developing,2,2,1.0
background,1,1,1.0
termed,1,1,1.0
far,7,4,1.75
too,6,2,3.0
mance,6,3,2.0
overwhelms,1,1,1.0
felt,1,1,1.0
type,3,3,1.0
neglect,1,1,1.0
occasionally,1,1,1.0
cited,1,1,1.0
disjunct,1,1,1.0
influenced,1,1,1.0
downfall,1,1,1.0
essential,3,2,1.5
analogously,1,1,1.0
face,4,3,1.3333333333333333
tion,38,4,9.5
enhance,1,1,1.0
count,5,2,2.5
illustrations,1,1,1.0
excluding,2,2,1.0
addition,3,3,1.0
chances,1,1,1.0
fitting,1,1,1.0
additionally,2,2,1.0
enhanced,1,1,1.0
reinforce,1,1,1.0
ters,3,2,1.5
tangible,1,1,1.0
participation,1,1,1.0
exploration,2,2,1.0
disseminated,1,1,1.0
difficulties,2,2,1.0
faced,1,1,1.0
classifying,3,3,1.0
concerns,2,2,1.0
imitated,1,1,1.0
say,2,1,2.0
extremely,4,2,2.0
examined,1,1,1.0
requires,3,2,1.5
cost,30,4,7.5
huge,2,1,2.0
group,3,2,1.5
move,2,2,1.0
lsh,2,1,2.0
knn,5,2,2.5
dimensions,18,2,9.0
commonly,3,3,1.0
common,11,3,3.6666666666666665
accounts,1,1,1.0
scholarly,1,1,1.0
investigations,2,1,2.0
initialization,2,1,2.0
convergence,1,1,1.0
attributed,3,2,1.5
merit,1,1,1.0
yields,2,2,1.0
cant,2,2,1.0
effort,2,2,1.0
center,8,2,4.0
ization,1,1,1.0
evolved,1,1,1.0
supports,1,1,1.0
mentation,2,1,2.0
inherently,2,2,1.0
sequential,1,1,1.0
sampleso,1,1,1.0
m,71,5,14.2
round,2,2,1.0
repeats,1,1,1.0
approximatelyo,1,1,1.0
logn,1,1,1.0
rounds,1,1,1.0
point,27,4,6.75
pass,1,1,1.0
mlogn,1,1,1.0
sampled,6,3,2.0
clustered,5,2,2.5
centers,2,2,1.0
llyod,1,1,1.0
iteration,16,3,5.333333333333333
input,38,3,12.666666666666666
quickly,1,1,1.0
once,4,2,2.0
tered,1,1,1.0
indexing,8,1,8.0
index,7,3,2.3333333333333335
whenever,2,2,1.0
dimensionality,18,2,9.0
partitioning,6,2,3.0
includes,5,4,1.25
alike,1,1,1.0
apportioning,1,1,1.0
titioning,1,1,1.0
pivots,2,1,2.0
regarding,4,2,2.0
searching,4,2,2.0
spaces,12,3,4.0
discern,1,1,1.0
similarity,5,2,2.5
mented,1,1,1.0
situation,2,2,1.0
object,3,3,1.0
seeks,4,2,2.0
queries,2,1,2.0
comparing,6,3,2.0
established,5,3,1.6666666666666667
ox,9,1,9.0
oy,7,1,7.0
oz,3,1,3.0
objects,8,2,4.0
dissimilarity,1,1,1.0
informative,4,2,2.0
entries,3,2,1.5
go,1,1,1.0
node,9,1,9.0
capacity,10,3,3.3333333333333335
highlight,3,2,1.5
internal,4,3,1.3333333333333333
leaf,12,1,12.0
routing,6,1,6.0
poised,1,1,1.0
represent,8,3,2.6666666666666665
tions,3,2,1.5
organization,1,1,1.0
correspond,4,2,2.0
bottom,1,1,1.0
fashion,3,2,1.5
pool,1,1,1.0
promoted,1,1,1.0
tree,10,3,3.3333333333333335
policy,1,1,1.0
provides,6,4,1.5
q,75,2,37.5
triangle,3,2,1.5
inequality,2,1,2.0
optimizes,1,1,1.0
bors,1,1,1.0
organized,3,3,1.0
imperatively,1,1,1.0
meant,1,1,1.0
impractical,1,1,1.0
cient,1,1,1.0
ous,2,2,1.0
documented,1,1,1.0
spill,2,1,2.0
scales,3,2,1.5
ensuring,3,2,1.5
searched,3,1,3.0
efficiently,1,1,1.0
investigation,7,2,3.5
central,1,1,1.0
purpose,9,2,4.5
together,4,3,1.3333333333333333
perceived,2,1,2.0
devastated,1,1,1.0
reason,4,3,1.3333333333333333
described,6,3,2.0
contrasted,1,1,1.0
illustration,1,1,1.0
taken,3,2,1.5
accurate,3,2,1.5
provided,5,2,2.5
entire,4,2,2.0
implemented,2,1,2.0
upon,4,1,4.0
plete,1,1,1.0
evident,1,1,1.0
discerned,1,1,1.0
tpr,4,1,4.0
equation,1,1,1.0
categorized,2,1,2.0
accurately,2,1,2.0
fpr,3,1,3.0
expressed,4,2,2.0
fnr,3,1,3.0
lastly,2,2,1.0
indicates,3,3,1.0
priate,1,1,1.0
calls,1,1,1.0
ting,2,2,1.0
rates,1,1,1.0
gm,47,2,23.5
racy,1,1,1.0
maximization,2,2,1.0
ric,1,1,1.0
manifest,1,1,1.0
tprate,1,1,1.0
tnrate,1,1,1.0
environments,2,2,1.0
procedures,1,1,1.0
continues,1,1,1.0
eration,1,1,1.0
lacking,1,1,1.0
resolve,2,2,1.0
effectually,1,1,1.0
segmenting,1,1,1.0
dispensing,1,1,1.0
est,2,2,1.0
dimensional,10,4,2.5
inate,1,1,1.0
tackling,3,2,1.5
unfeasible,1,1,1.0
probably,4,2,2.0
belonging,17,4,4.25
brought,1,1,1.0
processed,2,1,2.0
erate,2,2,1.0
fit,3,1,3.0
independently,5,2,2.5
complex,8,4,2.0
objective,5,3,1.6666666666666667
mine,1,1,1.0
tioned,1,1,1.0
convenient,1,1,1.0
grouping,3,2,1.5
obtain,20,4,5.0
despite,1,1,1.0
contributory,1,1,1.0
entirety,2,1,2.0
segmented,2,1,2.0
establishing,1,1,1.0
serves,2,2,1.0
formed,4,4,1.0
aligning,3,3,1.0
pushed,1,1,1.0
tive,5,3,1.6666666666666667
arranged,2,2,1.0
vancouver,2,1,2.0
competitions,1,1,1.0
attributes,1,1,1.0
million,2,1,2.0
api,1,1,1.0
library,1,1,1.0
pivot,3,1,3.0
calculate,6,2,3.0
tance,1,1,1.0
parent,1,1,1.0
shortest,1,1,1.0
push,3,2,1.5
partition,7,2,3.5
ual,2,2,1.0
establish,5,2,2.5
partitions,3,2,1.5
init,1,1,1.0
add,2,1,2.0
router,8,1,8.0
choose,1,1,1.0
minimum,5,2,2.5
radius,2,1,2.0
update,3,2,1.5
increment,1,1,1.0
maxleafsize,1,1,1.0
promote,1,1,1.0
routers,1,1,1.0
store,5,2,2.5
priority,5,1,5.0
queue,1,1,1.0
max,6,3,2.0
ignore,3,2,1.5
else,1,1,1.0
tigation,1,1,1.0
senting,1,1,1.0
reduction,5,3,1.6666666666666667
attribute,9,3,3.0
choice,4,3,1.3333333333333333
took,1,1,1.0
experimentation,3,2,1.5
distinct,1,1,1.0
optimum,3,2,1.5
utmost,1,1,1.0
ate,1,1,1.0
acquired,1,1,1.0
lates,1,1,1.0
concentration,4,2,2.0
hadoop,3,1,3.0
reduce,3,3,1.0
benchmarked,3,1,3.0
compare,9,3,3.0
sat,2,1,2.0
originate,1,1,1.0
viz,1,1,1.0
infrastructure,1,1,1.0
utilized,1,1,1.0
consist,2,2,1.0
centos,1,1,1.0
linux,1,1,1.0
eight,4,2,2.0
cores,1,1,1.0
gb,2,2,1.0
ram,3,2,1.5
configure,1,1,1.0
output,5,3,1.6666666666666667
hdfs,1,1,1.0
must,4,2,2.0
tuned,2,1,2.0
neither,1,1,1.0
nor,1,1,1.0
disk,1,1,1.0
memory,1,1,1.0
setting,1,1,1.0
increase,8,3,2.6666666666666665
parallelism,1,1,1.0
throughput,2,1,2.0
cause,4,3,1.3333333333333333
near,8,3,2.6666666666666665
thereby,4,2,2.0
decreasing,2,2,1.0
segment,10,2,5.0
specifications,1,1,1.0
emphasis,3,3,1.0
ble,1,1,1.0
configuration,1,1,1.0
crucial,2,2,1.0
stage,7,3,2.3333333333333335
focuses,2,2,1.0
sought,1,1,1.0
five,1,1,1.0
kept,1,1,1.0
fraction,1,1,1.0
vs,1,1,1.0
maximum,7,3,2.3333333333333335
performed,5,2,2.5
reducing,4,3,1.3333333333333333
arrived,1,1,1.0
iments,1,1,1.0
originated,1,1,1.0
merged,2,2,1.0
alongside,1,1,1.0
ecbdl,4,1,4.0
assessed,2,2,1.0
drf,2,1,2.0
targeted,2,2,1.0
scikit,1,1,1.0
facilitated,1,1,1.0
aided,1,1,1.0
attr,1,1,1.0
min,5,2,2.5
satimage,10,2,5.0
upsampling,1,1,1.0
demonstrate,5,3,1.6666666666666667
findings,3,1,3.0
tation,4,2,2.0
tends,2,1,2.0
exceed,1,1,1.0
observations,3,2,1.5
evidenced,1,1,1.0
tributed,1,1,1.0
superior,5,2,2.5
lar,1,1,1.0
even,9,4,2.25
amount,3,3,1.0
steer,1,1,1.0
implication,1,1,1.0
unlikely,1,1,1.0
prove,4,3,1.3333333333333333
beneficial,1,1,1.0
outperforming,2,2,1.0
sklearn,1,1,1.0
lishing,1,1,1.0
distributing,1,1,1.0
aid,1,1,1.0
preserving,1,1,1.0
arrangements,1,1,1.0
turn,4,3,1.3333333333333333
desired,4,3,1.3333333333333333
scale,8,3,2.6666666666666665
degree,9,3,3.0
tress,1,1,1.0
rat,1,1,1.0
depth,1,1,1.0
nbins,1,1,1.0
capability,1,1,1.0
realizing,2,2,1.0
applicable,2,2,1.0
paving,1,1,1.0
expansion,1,1,1.0
lap,1,1,1.0
handled,1,1,1.0
properly,1,1,1.0
merge,1,1,1.0
tify,1,1,1.0
semination,1,1,1.0
scenarios,4,3,1.3333333333333333
summary,4,3,1.3333333333333333
scope,1,1,1.0
ucisat,1,1,1.0
